Edad,Sexo,Facultad,Pregunta,Opción,Comentarios
22,F,Derecho,4,3,
22,F,Derecho,5,3,
22,F,Derecho,6,2,
22,F,Derecho,7,3,
22,F,Derecho,8,2,
22,F,Derecho,9,2,
22,F,Derecho,10,4,
22,F,Derecho,11,1,
22,F,Derecho,12,4,
18,F,Derecho,1,3,
18,F,Derecho,2,4,
18,F,Derecho,3,3,
18,F,Derecho,4,1,
18,F,Derecho,5,3,
18,F,Derecho,6,3,
18,F,Derecho,7,3,
18,F,Derecho,8,2,
18,F,Derecho,9,3,
18,F,Derecho,10,4,
18,F,Derecho,11,2,
18,F,Derecho,12,1,
19,F,Derecho,1,3,
19,F,Derecho,2,2,
19,F,Derecho,3,4,
19,F,Derecho,4,1,
19,F,Derecho,5,3,
19,F,Derecho,6,1,
19,F,Derecho,7,2,
19,F,Derecho,8,1,
19,F,Derecho,9,3,
19,F,Derecho,10,4,
19,F,Derecho,11,2,
19,F,Derecho,12,1,
20,F,Derecho,1,4,
20,F,Derecho,2,3,
20,F,Derecho,3,3,
20,F,Derecho,4,1,
20,F,Derecho,5,2,
20,F,Derecho,6,4,
20,F,Derecho,7,3,
20,F,Derecho,8,1,
20,F,Derecho,9,3,
20,F,Derecho,10,1,
20,F,Derecho,11,2,
20,F,Derecho,12,1,
21,F,Derecho,1,4,
21,F,Derecho,2,3,
21,F,Derecho,3,3,
21,F,Derecho,4,3,
21,F,Derecho,5,2,
21,F,Derecho,6,4,
21,F,Derecho,7,3,
21,F,Derecho,8,1,
21,F,Derecho,9,3,
21,F,Derecho,10,4,
21,F,Derecho,11,2,
21,F,Derecho,12,1,
20,F,Derecho,1,2,
20,F,Derecho,2,3,
20,F,Derecho,3,3,
20,F,Derecho,4,1,
20,F,Derecho,5,3,
20,F,Derecho,6,3,
20,F,Derecho,7,1,
20,F,Derecho,8,2,
20,F,Derecho,9,4,
20,F,Derecho,10,1,
20,F,Derecho,11,2,
20,F,Derecho,12,4,
20,F,Derecho,1,3,
20,F,Derecho,2,3,
20,F,Derecho,3,2,
20,F,Derecho,4,4,
20,F,Derecho,5,3,
20,F,Derecho,6,3,
20,F,Derecho,7,1,
20,F,Derecho,8,1,
20,F,Derecho,9,3,
20,F,Derecho,10,3,
20,F,Derecho,11,2,
20,F,Derecho,12,2,
18,F,Derecho,1,2,
18,F,Derecho,2,3,
18,F,Derecho,3,"1,2,3,4",
18,F,Derecho,4,1,
18,F,Derecho,5,3,
18,F,Derecho,6,4,
18,F,Derecho,7,4,
18,F,Derecho,8,1,
18,F,Derecho,9,"3,4",
18,F,Derecho,10,4,
18,F,Derecho,11,2,
18,F,Derecho,12,1,
22,F,Derecho,1,3,
22,F,Derecho,2,3,
22,F,Derecho,3,3,
22,F,Derecho,4,4,
22,F,Derecho,5,3,
22,F,Derecho,6,2,
22,F,Derecho,7,3,
22,F,Derecho,8,2,
22,F,Derecho,9,3,
22,F,Derecho,10,1,
22,F,Derecho,11,2,
22,F,Derecho,12,1,
19,F,Derecho,1,3,
19,F,Derecho,2,3,
19,F,Derecho,3,3,
19,F,Derecho,4,1,
19,F,Derecho,5,1,
19,F,Derecho,6,1,
19,F,Derecho,7,2,
19,F,Derecho,8,2,
19,F,Derecho,9,2,
19,F,Derecho,10,4,
19,F,Derecho,11,2,
19,F,Derecho,12,3,
20,F,Derecho,1,2,
20,F,Derecho,2,3,
20,F,Derecho,3,4,
20,F,Derecho,4,3,
20,F,Derecho,5,1,
20,F,Derecho,6,1,
20,F,Derecho,7,3,
20,F,Derecho,8,1,
20,F,Derecho,9,3,
20,F,Derecho,10,4,
20,F,Derecho,11,2,
20,F,Derecho,12,1,
20,F,Derecho,1,3,
20,F,Derecho,2,3,
20,F,Derecho,3,"3,4",
20,F,Derecho,4,1,
