Edad,Sexo,Facultad,Pregunta,Opción,Comentarios,Pregunta_texto,Llave,Respuesta_texto
18,F,Derecho,10,4,,¿Qué protecciones básicas consideras viables para los animales de trabajo?,104,4. Respuestas 1 y 3
18,F,Derecho,11,3,,"Tratándose de la base de tu alimentación, ¿qué tanto consumes productos cárnicos?",113,Soy vegetariano
18,F,Derecho,12,1,,¿Consideras importante que los lingüistas participen en la redacción de las leyes y códigos en materia de derecho animal?,121,"Sí, tienen la capacidad de describir y analizar"
18,F,Derecho,1,4,,¿Conoces de la existencia del derecho animal?,14,"Sí, estoy informado"
18,F,Derecho,2,3,,¿Consideras que los animales tienen derechos?,23,Sí
18,F,Derecho,3,3,,¿Qué derechos consideras tienen los animales?,33,"3. Alimentación, salud, movilidad, libertad"
18,F,Derecho,4,1,,¿Qué animales consideras tienen que ser protegidos jurídicamente?,41,1. Todos los animales 
18,F,Derecho,5,1,,¿Cómo crees qué es definido un animal en las leyes mexicanas y el Código Civil Federal?,51,Ser vivo
18,F,Derecho,6,4,,¿Sabes qué hacer ante una situación de maltrato animal?,64,"Estoy informado, presento una denuncia"
18,F,Derecho,7,2,,¿Consideras importante que los servidores judiciales estén capacitados en materia de derecho animal?,72,Sí
18,F,Derecho,8,1,,¿Consideras idónea la prisión como un mecanismo para crear conciencia sobre el bienestar de los animales?,81,Sí
18,F,Derecho,9,3,,¿Qué opinas de la representación jurídica hacia los animales por parte de los abogados y el Ministerio Público?,93,Es necesaria porque son sujetos de derecho
18,F,Derecho,10,4,,¿Qué protecciones básicas consideras viables para los animales de trabajo?,104,4. Respuestas 1 y 3
18,F,Derecho,11,2,,"Tratándose de la base de tu alimentación, ¿qué tanto consumes productos cárnicos?",112,Como de todo
18,F,Derecho,12,1,,¿Consideras importante que los lingüistas participen en la redacción de las leyes y códigos en materia de derecho animal?,121,"Sí, tienen la capacidad de describir y analizar"
18,F,Derecho,1,3,,¿Conoces de la existencia del derecho animal?,13,Sí pero no conozco del tema
18,F,Derecho,2,3,,¿Consideras que los animales tienen derechos?,23,Sí
18,F,Derecho,3,3,,¿Qué derechos consideras tienen los animales?,33,"3. Alimentación, salud, movilidad, libertad"
18,F,Derecho,4,1,,¿Qué animales consideras tienen que ser protegidos jurídicamente?,41,1. Todos los animales 
18,F,Derecho,5,1,,¿Cómo crees qué es definido un animal en las leyes mexicanas y el Código Civil Federal?,51,Ser vivo
18,F,Derecho,6,3,,¿Sabes qué hacer ante una situación de maltrato animal?,63,Investigo el procedimiento
18,F,Derecho,7,2,,¿Consideras importante que los servidores judiciales estén capacitados en materia de derecho animal?,72,Sí
18,F,Derecho,8,1,,¿Consideras idónea la prisión como un mecanismo para crear conciencia sobre el bienestar de los animales?,81,Sí
18,F,Derecho,9,3,,¿Qué opinas de la representación jurídica hacia los animales por parte de los abogados y el Ministerio Público?,93,Es necesaria porque son sujetos de derecho
18,F,Derecho,10,3,,¿Qué protecciones básicas consideras viables para los animales de trabajo?,103,"3. Retiro digno: adopción, jubilación o santuario"
18,F,Derecho,11,2,,"Tratándose de la base de tu alimentación, ¿qué tanto consumes productos cárnicos?",112,Como de todo
18,F,Derecho,12,1,,¿Consideras importante que los lingüistas participen en la redacción de las leyes y códigos en materia de derecho animal?,121,"Sí, tienen la capacidad de describir y analizar"
20,F,Derecho,1,2,,¿Conoces de la existencia del derecho animal?,12,Algo había escuchado
20,F,Derecho,2,4,,¿Consideras que los animales tienen derechos?,24,Sólo algunos
20,F,Derecho,3,3,,¿Qué derechos consideras tienen los animales?,33,"3. Alimentación, salud, movilidad, libertad"
20,F,Derecho,4,1,,¿Qué animales consideras tienen que ser protegidos jurídicamente?,41,1. Todos los animales 
20,F,Derecho,5,3,,¿Cómo crees qué es definido un animal en las leyes mexicanas y el Código Civil Federal?,53,Cosas (bienes muebles e inmuebles)
20,F,Derecho,6,1,,¿Sabes qué hacer ante una situación de maltrato animal?,61,No   
20,F,Derecho,7,2,,¿Consideras importante que los servidores judiciales estén capacitados en materia de derecho animal?,72,Sí
20,F,Derecho,8,2,,¿Consideras idónea la prisión como un mecanismo para crear conciencia sobre el bienestar de los animales?,82,Prefiero la prevención con c. de concientización
20,F,Derecho,9,2,,¿Qué opinas de la representación jurídica hacia los animales por parte de los abogados y el Ministerio Público?,92,Los animales no se pueden representar en los juicios
20,F,Derecho,10,4,,¿Qué protecciones básicas consideras viables para los animales de trabajo?,104,4. Respuestas 1 y 3
20,F,Derecho,11,2,,"Tratándose de la base de tu alimentación, ¿qué tanto consumes productos cárnicos?",112,Como de todo
20,F,Derecho,12,0,Tanto juristas como linguistas deberían de trabajar en conjunto,¿Consideras importante que los lingüistas participen en la redacción de las leyes y códigos en materia de derecho animal?,120,#N/A
20,F,Derecho,1,2,,¿Conoces de la existencia del derecho animal?,12,Algo había escuchado
20,F,Derecho,2,3,,¿Consideras que los animales tienen derechos?,23,Sí
20,F,Derecho,3,3,,¿Qué derechos consideras tienen los animales?,33,"3. Alimentación, salud, movilidad, libertad"
20,F,Derecho,4,1,,¿Qué animales consideras tienen que ser protegidos jurídicamente?,41,1. Todos los animales 
20,F,Derecho,5,3,,¿Cómo crees qué es definido un animal en las leyes mexicanas y el Código Civil Federal?,53,Cosas (bienes muebles e inmuebles)
20,F,Derecho,6,4,,¿Sabes qué hacer ante una situación de maltrato animal?,64,"Estoy informado, presento una denuncia"
20,F,Derecho,7,2,,¿Consideras importante que los servidores judiciales estén capacitados en materia de derecho animal?,72,Sí
20,F,Derecho,8,2,,¿Consideras idónea la prisión como un mecanismo para crear conciencia sobre el bienestar de los animales?,82,Prefiero la prevención con c. de concientización
20,F,Derecho,9,2,,¿Qué opinas de la representación jurídica hacia los animales por parte de los abogados y el Ministerio Público?,92,Los animales no se pueden representar en los juicios
20,F,Derecho,10,1,,¿Qué protecciones básicas consideras viables para los animales de trabajo?,101,"1. Limitación de tiempo, alimentación y reposo"
20,F,Derecho,11,1,,"Tratándose de la base de tu alimentación, ¿qué tanto consumes productos cárnicos?",111,No puedo vivir sin carne
20,F,Derecho,12,4,,¿Consideras importante que los lingüistas participen en la redacción de las leyes y códigos en materia de derecho animal?,124,Sólo los abogados pueden redactar leyes
20,F,Derecho,1,2,,¿Conoces de la existencia del derecho animal?,12,Algo había escuchado
20,F,Derecho,2,1,,¿Consideras que los animales tienen derechos?,21,No
20,F,Derecho,3,0,,¿Qué derechos consideras tienen los animales?,30,#N/A
20,F,Derecho,4,1,,¿Qué animales consideras tienen que ser protegidos jurídicamente?,41,1. Todos los animales 
20,F,Derecho,5,3,,¿Cómo crees qué es definido un animal en las leyes mexicanas y el Código Civil Federal?,53,Cosas (bienes muebles e inmuebles)
20,F,Derecho,6,1,,¿Sabes qué hacer ante una situación de maltrato animal?,61,No   
20,F,Derecho,7,1,,¿Consideras importante que los servidores judiciales estén capacitados en materia de derecho animal?,71,No
20,F,Derecho,8,4,,¿Consideras idónea la prisión como un mecanismo para crear conciencia sobre el bienestar de los animales?,84,"No, las cárceles están sobresaturadas "
20,F,Derecho,9,2,,¿Qué opinas de la representación jurídica hacia los animales por parte de los abogados y el Ministerio Público?,92,Los animales no se pueden representar en los juicios
20,F,Derecho,10,1,,¿Qué protecciones básicas consideras viables para los animales de trabajo?,101,"1. Limitación de tiempo, alimentación y reposo"
20,F,Derecho,11,2,,"Tratándose de la base de tu alimentación, ¿qué tanto consumes productos cárnicos?",112,Como de todo
20,F,Derecho,12,2,,¿Consideras importante que los lingüistas participen en la redacción de las leyes y códigos en materia de derecho animal?,122,No
21,F,Derecho,1,2,,¿Conoces de la existencia del derecho animal?,12,Algo había escuchado
21,F,Derecho,2,3,,¿Consideras que los animales tienen derechos?,23,Sí
21,F,Derecho,3,2,,¿Qué derechos consideras tienen los animales?,32,2. Opciones 1 y 3
21,F,Derecho,4,1,,¿Qué animales consideras tienen que ser protegidos jurídicamente?,41,1. Todos los animales 
